Case and Offense,Case Number,Reported Date,Nature Of Call,From Date,Offense,Description,Block Address,City,State,Beat,Division,Council District,Attempt Complete,Location Type,Location Description,Location
230318661-23F,230318661,7/17/2023,BURGLARY VEHICLE,7/16/2023 23:50,23F,PC 30.04(A) Burglary Vehicle,3000 WESTVISTA CIR,FORT WORTH,TX,J17,South,6,C,18,18 PARKING LOT/GARAGE,"(32.645344089728425, -97.36477478099647)"
230318799-90Z,230318799,7/20/2023,HARASS,7/3/2023 6:38,90Z,PC 42.07(C) Harassment,5700 REMINGTON RIDGE DR,FORT WORTH,TX,K19,West,6,C,25,25 OTHER/UNKNOWN,"(32.675329372151225, -97.41451903563501)"
230054412-220,230054412,7/17/2023,BURGLARY RESIDENTIAL,7/17/2023 13:29,220,PC 30.02(C)(2) Burglary Habitation,600 ROSARIO LN,FORT WORTH,TX,F15,North,10,C,20,20 RESIDENCE/HOME,"(32.985491815965105, -97.3730082316806)"
230054619-90Z,230054619,7/18/2023,HARASS,7/17/2023 16:26,90Z,PC 42.07(C) Harassment,3300 CRENSHAW AVE,FORT WORTH,TX,G12,East,11,C,20,20 RESIDENCE/HOME,"(32.718209961306535, -97.27800169734877)"
230056181-290,230056181,7/23/2023,CRIMINAL MISCHIEF,7/22/2023 15:00,290,GC 039 Criminal Mischief under $100/Subst Inconven,300 RAND ST,FORT WORTH,TX,G14,East,11,C,25,25 OTHER/UNKNOWN,"(32.7406500529287, -97.25775137993017)"
230021396-720,230021396,3/23/2023,ANIMAL,3/23/2023 11:25,720,PC 42.092(c-1) CRUELTY NON-LIVESTOCK ANIM:KILL/POI,2500 OXFORD AVE,FORT WORTH,TX,C11,Northwest,2,C,20,20 RESIDENCE/HOME,
230056019-13A,230056019,7/22/2023,AG ASSAULT,7/16/2023 19:19,13A,PC 22.02(a)(2) Aggravated Assault bodily injury w/,300 RAND ST,FORT WORTH,TX,G14,East,11,C,18,18 PARKING LOT/GARAGE,"(32.7406500529287, -97.25775137993017)"
230318724-23C,230318724,7/18/2023,THEFT,7/18/2023 18:23,23C,GC 085-07 Theft under $100 Shoplifting,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,55,55 SHOPPING MALL,"(32.68740894175712, -97.32079903844469)"
230053341-90Z,230053341,7/13/2023,PENAL CODE,7/13/2023 16:46,90Z,PC 38.02(D)(1) Fail ID Fugi from Justice,2200 SCOTT AVE,FORT WORTH,TX,B13,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.747564319481256, -97.29422513127281)"
230055172-23H,230055172,7/19/2023,THEFT,7/17/2023 22:00,23H,PC 31.03(E)(4)(A) Theft>$1500<$20K,900 SPANISH NEEDLE TRL,FORT WORTH,TX,F17,North,4,C,20,20 RESIDENCE/HOME,"(32.915760963759354, -97.34702166868837)"
230055908-23F,230055908,7/22/2023,BURGLARY VEHICLE,7/21/2023 23:00,23F,PC 30.04(A) Burglary Vehicle,3000 ALTA VIEW ST,FORT WORTH,TX,C12,Northwest,11,C,20,20 RESIDENCE/HOME,"(32.798772655356174, -97.29855675066753)"
230318682-23H,230318682,7/18/2023,THEFT,7/8/2023 11:00,23H,GC  085-07 Theft under $100,4800 EDDLEMAN DR,FORT WORTH,TX,E15,North,4,C,20,20 RESIDENCE/HOME,"(32.918481253681804, -97.28184848418752)"
230055020-23H,230055020,7/19/2023,THEFT TRAILER NONCOMMERCI,7/16/2023 20:00,23H,PC 31.03(E)(4)(A) Theft Property >= $2500<$30K  (t,4300 FRESHFIELD RD,FORT WORTH,TX,G16,East,11,C,20,20 RESIDENCE/HOME,"(32.70145937016764, -97.25084710798815)"
230054216-23H,230054216,7/16/2023,THEFT,7/16/2023 21:15,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,21,21 RESTAURANT,"(32.68740894175712, -97.32079903844469)"
230050138-13B,230050138,7/2/2023,ASSAULT,7/2/2023 13:53,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,E VICKERY BLVD & TENNESSEE AVE,FORT WORTH,TX,B12,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230055462-WAR,230055462,7/20/2023,00,7/20/2023 19:34,WAR,OT WARRANT Out of Town Warrant,WEST FWY,FORT WORTH,TX,K11,West,9,C,13,13 HIGHWAY/ROAD/ALLEY,
230055490-13B,230055490,7/20/2023,ASSAULT C,7/20/2023 5:45,13B,GC 088 Assault by Offensive Contact-Class C,1200 EASTCHASE PKWY,FORT WORTH,TX,H12,East,5,C,23,23 SERVICE/GAS STATION,"(32.762457956580946, -97.16735458989443)"
230054936-13B,230054936,7/19/2023,ASSAULT,5/19/2023 23:59,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,0 W IH  FWY EB/SOUTH FWY SR SB,FORT WORTH,TX,I16,South,9,C,13,13 HIGHWAY/ROAD/ALLEY,
230053341-WAR,230053341,7/13/2023,PENAL CODE,7/13/2023 16:46,WAR,OT WARRANT Out of Town Warrant,2200 SCOTT AVE,FORT WORTH,TX,B13,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.747564319481256, -97.29422513127281)"
230056441-13B,230056441,7/24/2023,ASSAULT,7/24/2023 11:47,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,EAGLE PKWY,FORT WORTH,TX,F14,North,10,C,13,13 HIGHWAY/ROAD/ALLEY,
230056569-100,230056569,7/25/2023,PENAL CODE,7/24/2023 18:28,100,PC 20.02(c) Unlawful Restraint,SUN VALLEY DR,FORT WORTH,TX,I14,South,11,C,13,13 HIGHWAY/ROAD/ALLEY,
230318931-23F,230318931,7/24/2023,BURGLARY VEHICLE,7/24/2023 3:00,23F,PC 30.04(A) Burglary Vehicle,8100 PLATEAU DR,FORT WORTH,TX,H15,East,5,C,20,20 RESIDENCE/HOME,"(32.740541337150056, -97.17995515896601)"
230056282-240,230056282,7/23/2023,AUTO THEFT,7/22/2023 20:45,240,PC 31.03(E)(4)(A)AUTO2015 Theft Prop>=$2500<$30k A,2400 DENBURY DR,FORT WORTH,TX,J15,South,6,C,20,20 RESIDENCE/HOME,"(32.657841741902764, -97.35658853898201)"
230056878-90Z,230056878,7/25/2023,TRAFFIC CODE,7/25/2023 18:34,90Z,PC 38.02(D)(2) Fail ID Fugi Int Give Fals Info,PORTALES DR / N NORMANDALE ST,FORT WORTH,TX,L16,West,3,C,18,18 PARKING LOT/GARAGE,
230318977-290,230318977,7/24/2023,CRIMINAL MISCHIEF,7/24/2023 17:00,290,GC 039 Criminal Mischief under $100/Subst Inconven,9500 NEHEMIAH DR,FORT WORTH,TX,L17,West,3,C,20,20 RESIDENCE/HOME,"(32.729120334477145, -97.48583207012625)"
230056090-13B,230056090,7/23/2023,BURGLARY VEHICLE,7/22/2023 11:00,13B,PC 22.01(A)(1)FV Aslt Causes B/I Family Member,1500 CREEKSTONE CT,FORT WORTH,TX,H15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,
230057362-23F,230057362,7/27/2023,BURGLARY VEHICLE,7/26/2023 21:00,23F,PC 30.04(A) Burglary Vehicle,1800 MONTCLAIR DR,FORT WORTH,TX,G13,East,11,A,20,20 RESIDENCE/HOME,"(32.75118817939024, -97.25187997172965)"
230056569-90J,230056569,7/25/2023,PENAL CODE,7/24/2023 18:28,90J,PC 30.05(A)(1)(2) Criminal Trespass Habit,SUN VALLEY DR,FORT WORTH,TX,I14,South,11,C,13,13 HIGHWAY/ROAD/ALLEY,
230056328-220,230056328,7/24/2023,BURGLARY COMMERCIAL,7/24/2023 0:46,220,PC 30.02(C)(1) Burglary of building,6500 BOCA RATON BLVD,FORT WORTH,TX,H11,East,5,C,8,08 DEPARTMENT/DISCOUNT STORE,"(32.768202852114264, -97.21580244056122)"
230057251-90Z,230057251,7/27/2023,PENAL CODE,7/26/2023 21:57,90Z,GC 080 Public Intoxication,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,55,55 SHOPPING MALL,"(32.68740894175712, -97.32079903844469)"
230056736-290,230056736,7/25/2023,CRIMINAL MISCHIEF,7/25/2023 6:30,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,11100 NORTH FWY,FORT WORTH,TX,F11,North,10,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.93504853508238, -97.31511565191802)"
230056569-90Z,230056569,7/25/2023,PENAL CODE,7/24/2023 18:28,90Z,PC 38.04(b)(2)(A) Evading Arrest Detention w/vehic,SUN VALLEY DR,FORT WORTH,TX,I14,South,11,C,13,13 HIGHWAY/ROAD/ALLEY,
230057804-120,230057804,7/28/2023,ROBBERY PERSON,7/28/2023 18:12,120,PC 71.02A Agg Robbery EOC/Aggravated Robbery,1200 W SEMINARY DR,FORT WORTH,TX,J11,South,11,C,20,20 RESIDENCE/HOME,"(32.684763301458695, -97.33725425114956)"
230056878-35A,230056878,7/25/2023,TRAFFIC CODE,7/25/2023 18:34,35A,HSC 481.115(D) Poss CS PG 1 >=4G<200G,PORTALES DR / N NORMANDALE ST,FORT WORTH,TX,L16,West,3,C,18,18 PARKING LOT/GARAGE,
230056452-220,230056452,7/24/2023,BURGLARY COMMERCIAL,7/23/2023 6:00,220,PC 30.02(C)(1) Burglary of building,7800 WILL ROGERS BLVD,FORT WORTH,TX,I17,South,8,C,5,05 COMMERCIAL/OFFICE BUILDING,"(32.634860982489826, -97.31281666528794)"
230058124-90J,230058124,7/30/2023,CRIMINAL TRESPASS,7/29/2023 21:00,90J,PC 30.05(d)(1) Criminal Trespass,VIRGINIA PL,FORT WORTH,TX,K13,West,7,C,20,20 RESIDENCE/HOME,
230056737-220,230056737,7/25/2023,BURGLARY COMMERCIAL,7/20/2023 10:46,220,PC 30.02(C)(1) Burglary of building,4900 BRENTWOOD STAIR RD,FORT WORTH,TX,G13,East,11,C,19,19 RENTAL STORAGE FACILITY,"(32.75852628975769, -97.24780866541775)"
230056569-WAR,230056569,7/25/2023,PENAL CODE,7/24/2023 18:28,WAR,OT WARRANT Out of Town Warrant,SUN VALLEY DR,FORT WORTH,TX,I14,South,11,C,13,13 HIGHWAY/ROAD/ALLEY,
230056048-23F,230056048,7/22/2023,BURGLARY VEHICLE,7/21/2023 22:00,23F,PC 30.04(A) Burglary Vehicle,4700 SOUTHWEST LOOP 820 FWY,FORT WORTH,TX,K18,West,6,C,14,14 HOTEL/MOTEL/ETC.,
230318853-23H,230318853,7/22/2023,THEFT,6/26/2023 16:30,23H,PC 31.20(c)(1) Theft-Mail<=10 addresses,2600 OLD TRINITY WAY,FORT WORTH,TX,L13,West,3,C,20,20 RESIDENCE/HOME,"(32.705775147871336, -97.4139148125075)"
230056569-13B,230056569,7/25/2023,PENAL CODE,7/24/2023 18:28,13B,PC 25.11(e) Continuous Violence against family(Sim,SUN VALLEY DR,FORT WORTH,TX,I14,South,11,C,13,13 HIGHWAY/ROAD/ALLEY,
230057960-13B,230057960,7/24/2023,ASSAULT,5/8/2023 0:00,13B,PC 22.01(b)(8) ASSAULT OF PREGNANT PERSON (Simple,2500 CHESTNUT AVE,FORT WORTH,TX,C13,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.790228878871794, -97.36365156403339)"
230056647-35A,230056647,7/25/2023,NARCOTIC VIOLATIONS,7/25/2023 2:31,35A,HSC 481.115(D) Poss CS PG 1 >=4G<200G,S RIVERSIDE DR/E RICHMOND,FORT WORTH,TX,B17,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230318833-23C,230318833,7/21/2023,THEFT,7/21/2023 15:03,23C,GC  085-07 Theft under $100- Shoplifting,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,55,55 SHOPPING MALL,"(32.68740894175712, -97.32079903844469)"
230057947-290,230057947,7/29/2023,CRIMINAL MISCHIEF,7/29/2023 6:00,290,GC 039 Criminal Mischief under $100/Subst Inconven,3800 CARLSBAD WAY,FORT WORTH,TX,E14,North,4,C,20,20 RESIDENCE/HOME,"(32.898155347900776, -97.30347966033689)"
230056878-23F,230056878,7/25/2023,TRAFFIC CODE,7/25/2023 18:34,23F,PC 30.04(D)(2)(A) BURGLARY OF VEHICLE W/2+ CONV IA,PORTALES DR / N NORMANDALE ST,FORT WORTH,TX,L16,West,3,C,18,18 PARKING LOT/GARAGE,
230057524-90Z,230057524,7/27/2023,PENAL CODE,3/15/2023 0:01,90Z,PC 25.03(d) INTERFERENCE WITH CHILD CUSTODY,1500 ALDRA DR,FORT WORTH,TX,H15,East,5,C,20,20 RESIDENCE/HOME,"(32.757924317552366, -97.18006645075269)"
230058038-13B,230058038,7/29/2023,ASSAULT C,7/29/2023 17:32,13B,GC 088-03 Assault by Offensive Contact Family or D,2300 GOULD AVE,FORT WORTH,TX,C13,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.786755697746415, -97.36037001199341)"
230057995-23F,230057995,7/29/2023,BURGLARY VEHICLE,7/29/2023 12:00,23F,PC 30.04(A) Burglary Vehicle,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,A,18,18 PARKING LOT/GARAGE,"(32.68740894175712, -97.32079903844469)"
230056518-13B,230056518,7/24/2023,ASSAULT,7/24/2023 13:43,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,2600 RACE ST,FORT WORTH,TX,A12,Central,11,C,20,20 RESIDENCE/HOME,"(32.773203508033106, -97.30774409263941)"
230056694-23F,230056694,7/25/2023,BURGLARY VEHICLE,7/24/2023 22:00,23F,PC 30.04(A) Burglary Vehicle,400 PALOVERDE LN,FORT WORTH,TX,H11,East,5,C,20,20 RESIDENCE/HOME,"(32.77376676707231, -97.22243989127513)"
230056090-23F,230056090,7/23/2023,BURGLARY VEHICLE,7/22/2023 11:00,23F,PC 30.04(A) Burglary Vehicle,1500 CREEKSTONE CT,FORT WORTH,TX,H15,East,5,C,13,13 HIGHWAY/ROAD/ALLEY,
230056540-13C,230056540,7/24/2023,VIOLATION PROTECTIVE ORDE,7/24/2023 16:30,13C,PC 25.07 G Violation of Bond/Protective Order,500 NW 16TH ST,FORT WORTH,TX,C16,Northwest,2,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.78003536171407, -97.35412189028176)"
230056569-240,230056569,7/25/2023,PENAL CODE,7/24/2023 18:28,240,PC 31.03(E)(5) AUTO Theft>=$20k<$100k (Auto theft),SUN VALLEY DR,FORT WORTH,TX,I14,South,11,C,13,13 HIGHWAY/ROAD/ALLEY,
230317256-90Z,230317256,6/14/2023,HARASS,6/14/2023 14:45,90Z,PC 42.07(C) Harassment,4200 GOLDEN HORN LN,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,
230057532-90Z,230057532,7/27/2023,HARASS,7/24/2023 10:00,90Z,PC 42.07(C) Harassment,3100 RUFUS ST,FORT WORTH,TX,G16,East,11,C,20,20 RESIDENCE/HOME,"(32.714632018524426, -97.26859385996093)"
230057836-23H,230057836,7/28/2023,THEFT,7/25/2023 2:00,23H,PC 31.03(E)(3)   Theft prop>=$750<$2500,3100 PURINGTON AVE,FORT WORTH,TX,G11,East,11,C,20,20 RESIDENCE/HOME,
230318868-220,230318868,7/22/2023,BURGLARY COMMERCIAL,7/19/2023 13:30,220,PC 30.02(C)(1) Burglary of building,4900 BRENTWOOD STAIR RD,FORT WORTH,TX,G13,East,11,C,19,19 RENTAL STORAGE FACILITY,"(32.75852628975769, -97.24780866541775)"
230319010-23H,230319010,7/24/2023,THEFT,6/30/2023 17:45,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,8000 NATALIE DR,FORT WORTH,TX,I18,South,8,C,25,25 OTHER/UNKNOWN,"(32.63280717728707, -97.33084243633121)"
230054706-13C,230054706,7/17/2023,DEADLY CONDUCT-SHOOTING,7/17/2023 21:00,13C,PC 22.05(A) weapon point Deadly Conduct-pointed or,1800 KINGS CANYON CIR,FORT WORTH,TX,I18,South,8,C,20,20 RESIDENCE/HOME,
230057874-23H,230057874,7/29/2023,THEFT,7/29/2023 0:15,23H,GC 085-08 Theft of Service under $100,400 THROCKMORTON ST,FORT WORTH,TX,A15,Central,9,C,21,21 RESTAURANT,
230058095-13A,230058095,7/29/2023,AG ASSAULT,7/28/2023 23:30,13A,PC 22.02(a)(1) Aggravated Assault causes serious b,5300 ROYAL LYTHAM RD,FORT WORTH,TX,E15,North,4,C,20,20 RESIDENCE/HOME,
230053533-220,230053533,7/14/2023,BURGLARY COMMERCIAL,7/14/2023 8:42,220,PC 30.02(C)(1) Burglary of building,4600 MINISTER DR,FORT WORTH,TX,I15,South,8,C,25,25 OTHER/UNKNOWN,
230059481-120,230059481,8/3/2023,ROBBERY PERSON,8/3/2023 17:30,120,PC 29.02 Robbery,2200 HUDSON ST,FORT WORTH,TX,B13,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.74666222775317, -97.29120977737503)"
230059469-23F,230059469,8/3/2023,BURGLARY VEHICLE,8/2/2023 4:00,23F,PC 30.04(A) Burglary Vehicle,3800 N CRUMP ST,FORT WORTH,TX,C14,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.812532754950304, -97.34265235602183)"
230059271-13C,230059271,8/2/2023,ASSAULT BY THREAT,8/2/2023 17:00,13C,GC 088 Assault by threat-Class C,3200 RIVER LODGE TRL S,FORT WORTH,TX,L13,West,3,C,20,20 RESIDENCE/HOME,"(32.700371412258555, -97.41822623711667)"
230059894-13A,230059894,8/5/2023,AG ASSAULT,8/5/2023 2:11,13A,PC 22.02(a)(2) Aggravated Assault bodily injury w/,COLLARD ST & E LANCASTER AVE,FORT WORTH,TX,G11,East,11,C,3,03 BAR/NIGHT CLUB,
230058193-23F,230058193,7/30/2023,BURGLARY VEHICLE,7/29/2023 17:30,23F,PC 30.04(A) Burglary Vehicle,3200 GORDON AVE,FORT WORTH,TX,J11,South,9,C,20,20 RESIDENCE/HOME,
230059411-13B,230059411,8/3/2023,ASSAULT C,7/29/2023 2:30,13B,GC 088 Assault by Offensive Contact-Class C,1900 HEMPHILL ST,FORT WORTH,TX,B14,Central,9,C,3,03 BAR/NIGHT CLUB,"(32.723443691238266, -97.33164064050915)"
230319368-290,230319368,8/3/2023,CRIMINAL MISCHIEF,7/20/2023 12:00,290,PC 28.03(B)(2)  Crim Misc>=$100<$750,3100 WAITS AVE,FORT WORTH,TX,K15,West,9,C,20,20 RESIDENCE/HOME,"(32.705540456929214, -97.35736004406948)"
230060192-240,230060192,8/6/2023,AUTO THEFT,8/6/2023 8:09,240,PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,900 E TUCKER ST,FORT WORTH,TX,B12,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,"(32.739393177408594, -97.3169706530376)"
230058238-13B,230058238,7/30/2023,ASSAULT C,7/30/2023 12:46,13B,GC 088-03 Assault by Offensive Contact Family or D,4400 SOUTHBEND DR,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,"(32.612533633659474, -97.39077697923021)"
230058929-13B,230058929,8/1/2023,AG ASSAULT,8/1/2023 21:43,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,MISSISSIPPI AVE & E BERRY ST,FORT WORTH,TX,B17,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230057966-290,230057966,7/29/2023,BURGLARY RESIDENTIAL,7/29/2023 3:00,290,PC 28.03(b)(3)(A) Criminal Mischief >=$750<$2500,6200 WOODSTREAM TRL,FORT WORTH,TX,J15,South,6,C,20,20 RESIDENCE/HOME,"(32.653528905421815, -97.35373901328289)"
230058197-290,230058197,7/30/2023,CRIMINAL MISCHIEF,7/29/2023 21:00,290,PC 28.03(b)(3)(A) Criminal Mischief >=$750<$2500,3700 BILL HICKOCK RD,FORT WORTH,TX,F12,North,10,C,18,18 PARKING LOT/GARAGE,
230058513-240,230058513,7/31/2023,BURGLARY VEHICLE,7/31/2023 0:01,240,PC 31.03(E)(4)(A)AUTO Theft>$1500<$20K (Auto theft,6100 W VICKERY BLVD,FORT WORTH,TX,K16,West,3,A,18,18 PARKING LOT/GARAGE,"(32.709417652188726, -97.41461288891233)"
230057681-120,230057681,7/27/2023,ROBBERY PERSON,7/25/2023 22:20,120,PC 29.03 Agg Robbery,2200 W SEMINARY DR,FORT WORTH,TX,J12,South,9,A,18,18 PARKING LOT/GARAGE,
230058891-13A,230058891,8/1/2023,AG ASSAULT,8/1/2023 18:51,13A,PC 22.02(A)(2) Aggravated Assault w/Deadly Weapon,3400 N MAIN ST,FORT WORTH,TX,D12,Northwest,2,C,7,07 CONVENIENCE STORE,"(32.80717252937599, -97.35157061757657)"
230059374-WAR,230059374,8/3/2023,CITY ORDINANCES,8/3/2023 10:39,WAR,OT WARRANT Out of Town Warrant,300 RIVERSIDE DR,FORT WORTH,TX,A14,Central,11,C,25,25 OTHER/UNKNOWN,"(32.763233338972256, -97.30178544880475)"
230319223-23C,230319223,7/31/2023,THEFT,7/31/2023 10:15,23C,PC 31.03(E)(2)(A)   PC 31.03(E)(2)(A)  2015 Theft,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,8,08 DEPARTMENT/DISCOUNT STORE,"(32.68740894175712, -97.32079903844469)"
230059842-90Z,230059842,8/5/2023,CRIMINAL TRESPASS,8/4/2023 21:06,90Z,GC 080 Public Intoxication,3300 N CRUMP ST,FORT WORTH,TX,C14,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.80362047822392, -97.34275802378896)"
230319197-23F,230319197,7/31/2023,BURGLARY VEHICLE,7/30/2023 2:00,23F,PC 30.04(A) Burglary Vehicle,5700 EL CAMPO AVE,FORT WORTH,TX,K13,West,3,C,20,20 RESIDENCE/HOME,"(32.736831426907536, -97.40835898380287)"
230059362-23F,230059362,8/3/2023,BURGLARY VEHICLE,8/2/2023 20:30,23F,PC 30.04(A) Burglary Vehicle,3900 THOROUGHBRED TRL,FORT WORTH,TX,J18,South,6,C,20,20 RESIDENCE/HOME,"(32.610927557619306, -97.37990622238334)"
230058213-90Z,230058213,7/30/2023,HARASS,7/29/2023 0:01,90Z,PC 42.07(C) Harassment,5800 MANHATTAN DR,FORT WORTH,TX,K16,West,6,C,20,20 RESIDENCE/HOME,
230057836-23A,230057836,7/28/2023,THEFT,7/25/2023 2:00,23A,PC 31.03(e)(2)(C) Theft of DL/Comm DL/ID Certifica,3100 PURINGTON AVE,FORT WORTH,TX,G11,East,11,C,20,20 RESIDENCE/HOME,
230059309-240,230059309,8/3/2023,AUTO THEFT,8/3/2023 5:47,240,PC 31.03(E)(5)AUTO 2015 Theft>=$30k<$150k,3700 BRADFORD CREEK DR,FORT WORTH,TX,K16,West,3,A,18,18 PARKING LOT/GARAGE,"(32.723885093088505, -97.4141241930093)"
230058679-23H,230058679,8/1/2023,THEFT,7/31/2023 17:30,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,5300 FLETCHER AVE,FORT WORTH,TX,K16,West,6,C,20,20 RESIDENCE/HOME,"(32.724523979371696, -97.40086323677285)"
230059374-90J,230059374,8/3/2023,CITY ORDINANCES,8/3/2023 10:39,90J,GC 038 Attempted Criminal Trespass,300 RIVERSIDE DR,FORT WORTH,TX,A14,Central,11,C,25,25 OTHER/UNKNOWN,"(32.763233338972256, -97.30178544880475)"
230059842-90J,230059842,8/5/2023,CRIMINAL TRESPASS,8/4/2023 21:06,90J,PC 30.05(d)(1) Criminal Trespass,3300 N CRUMP ST,FORT WORTH,TX,C14,Northwest,2,C,20,20 RESIDENCE/HOME,"(32.80362047822392, -97.34275802378896)"
230058928-90J,230058928,8/2/2023,CRIMINAL TRESPASS,8/1/2023 22:27,90J,PC 30.05(d)(1) Criminal Trespass,1800 JONES CIR W,FORT WORTH,TX,B17,Central,8,C,20,20 RESIDENCE/HOME,"(32.71819161468008, -97.29983104227918)"
230059792-23F,230059792,8/4/2023,BURGLARY VEHICLE,8/4/2023 11:50,23F,PC 30.04(A) Burglary Vehicle,3200 DONNELLY CIR,FORT WORTH,TX,K14,West,3,A,18,18 PARKING LOT/GARAGE,"(32.727670636603115, -97.39022419910674)"
230058907-90Z,230058907,8/1/2023,PUBLIC INTOXICATION,8/1/2023 18:42,90Z,GC 080 Public Intoxication,1800 HEMPHILL ST,FORT WORTH,TX,B14,Central,9,C,18,18 PARKING LOT/GARAGE,"(32.724525886206486, -97.33164819696114)"
230060066-290,230060066,8/5/2023,CRIMINAL MISCHIEF,8/5/2023 17:58,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,4200 SOUTH FWY,FORT WORTH,TX,I11,South,11,C,18,18 PARKING LOT/GARAGE,"(32.68740894175712, -97.32079903844469)"
230059845-520,230059845,8/5/2023,PENAL CODE,8/4/2023 22:30,520,PC 46.02(B) Unl Carrying Weapon / UCW,W RISINGER RD & CAROLINA DR,FORT WORTH,TX,J19,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230058181-23C,230058181,7/30/2023,THEFT,7/30/2023 8:30,23C,GC  085-07 Theft under $100- Shoplifting,4100 E LANCASTER AVE,FORT WORTH,TX,G14,East,11,C,8,08 DEPARTMENT/DISCOUNT STORE,
230058907-35B,230058907,8/1/2023,PUBLIC INTOXICATION,8/1/2023 18:42,35B,GC 084 Possession of Drug Paraphenalia,1800 HEMPHILL ST,FORT WORTH,TX,B14,Central,9,C,18,18 PARKING LOT/GARAGE,"(32.724525886206486, -97.33164819696114)"
230058625-240,230058625,7/31/2023,PENAL CODE,7/31/2023 18:34,240,PC 31.07 UUMV-Unauthorized Use of Motor Vehicle,4200 ALTAMESA BLVD,FORT WORTH,TX,J16,South,9,C,20,20 RESIDENCE/HOME,"(32.65109566428837, -97.3835459333404)"
230058409-220,230058409,7/31/2023,BURGLARY RESIDENTIAL,7/30/2023 15:00,220,PC 30.02(C)(2) Burglary Habitation,7500 NOBLE OAKS DR,FORT WORTH,TX,H12,East,5,C,20,20 RESIDENCE/HOME,"(32.77651084643265, -97.19024442467331)"
230059550-90Z,230059550,8/3/2023,HARASS,7/28/2023 8:00,90Z,PC 42.07(C) Harassment,3700 ASHFORD AVE,FORT WORTH,TX,J15,South,9,C,20,20 RESIDENCE/HOME,"(32.657408163410665, -97.37071404929047)"
230059845-13C,230059845,8/5/2023,PENAL CODE,8/4/2023 22:30,13C,PC 25.07 G Violation of Bond/Protective Order,W RISINGER RD & CAROLINA DR,FORT WORTH,TX,J19,South,8,C,13,13 HIGHWAY/ROAD/ALLEY,
230058204-290,230058204,7/30/2023,CRIMINAL MISCHIEF,7/30/2023 4:00,290,PC 28.03(b)(2) Criminal Mischief >=$100<$750,7200 IRISH VALLEY TRL,FORT WORTH,TX,J16,South,6,C,20,20 RESIDENCE/HOME,
230058871-23H,230058871,8/1/2023,THEFT,7/19/2023 20:37,23H,GC  085-07 Theft under $100,1900 HERITAGE TRACE PKWY,FORT WORTH,TX,F17,North,4,C,24,24 SPECIALTY STORE,"(32.91479042524702, -97.33251917668052)"
230319393-23H,230319393,8/3/2023,THEFT,8/3/2023 12:00,23H,PC 31.03(e)(2)(A)  Theft Property >=$100<$750,1000 RISING MOON DR,FORT WORTH,TX,F15,North,10,C,20,20 RESIDENCE/HOME,"(32.98434116511352, -97.38009831696678)"
230059975-13B,230059975,8/5/2023,ASSAULT,8/5/2023 11:49,13B,PC 22.01(A)(1) Assault Causes Bodily Injury,1200 TERMINAL RD,FORT WORTH,TX,C14,Northwest,2,C,23,23 SERVICE/GAS STATION,"(32.817599547473456, -97.34060537003657)"
230058929-13A,230058929,8/1/2023,AG ASSAULT,8/1/2023 21:43,13A,PC 22.02(A)(2) Aggravated Assault w/Deadly Weapon,MISSISSIPPI AVE & E BERRY ST,FORT WORTH,TX,B17,Central,8,C,13,13 HIGHWAY/ROAD/ALLEY,
